"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"East Evergreen Bluff Mine  (2, 4, 6)","Copper",NA,"295",NA,NA,"1",0,NA,"≤33",NA,"37280",NA,NA,"Medium","19","C","5",3,0,3,14,"0"
"East Evergreen 1","Copper","30","285","6","10","1",0,"26.6","32","100","40900",NA,NA,"Medium","0","C","0",0,NA,NA,0,"0"
"East Evergreen 3","Copper","20","295","6","20","1",NA,"26.6","25.7",NA,"40900",NA,NA,"Medium","0","C","0",0,NA,NA,0,"0"
"East Evergreen 5","Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40900",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"East Evergreen 7","Copper","16","240","6","15","1",NA,"26.6","27.5",NA,"40900",NA,NA,"Medium","0","C","0",0,NA,NA,0,"0"
"Eben Ice Caves","NA","100",NA,NA,NA,NA,NA,NA,"<32",NA,"42063",NA,NA,"High","0","c","0",0,0,0,0,"0"
"Eureka Mine (Norwich area)","Copper","48","245","3","5","1",0,NA,"41.9","88","36144",NA,NA,"Medium","1","C","0",0,NA,NA,1,"0"
"Eureka Shaft #3","Iron","100","999",NA,NA,"0",1,NA,NA,NA,"38412",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Farm Mine Shaft A","Copper","45","330",NA,NA,"0",1,NA,NA,NA,"37280",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Farm Mine Shaft B","Copper","50","330",NA,NA,"0",1,NA,NA,NA,"37280",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Fenwick's Cache","Cave","5",NA,"3","2.5","1",0,NA,NA,NA,"40313",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Firesteel Mine","Copper","150",NA,"7","6","1",1,"18.7","22.1-24.5",NA,"35798",NA,NA,"Medium","0","C","0",0,NA,NA,0,"0"
"Flintsteel Adit","Copper","164",NA,"6","6","1",0,"35.799999999999997","46.4","91","36145",NA,NA,"Low","500","C","497",26,25,1,0,"3"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,"42.6","78","40240",NA,NA,NA,"102","C","98",0,NA,NA,4,"0"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","42.8-43.7","93.1-100","40963",NA,NA,NA,"109","C","98",25,18,7,10,"1"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,"44.2",NA,"41693",NA,NA,NA,"103","c","97",89,81,8,6,"0"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42059",NA,NA,NA,"141","c","129",114,101,13,12,"0"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42422",NA,NA,NA,"213","c","198",135,132,3,15,"0"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,"42.8-44.6","93.1","43523",NA,NA,NA,"9",NA,"2",2,2,0,7,"0"
"Flintsteel Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43817",NA,NA,NA,"18",NA,"7",7,6,1,11,"0"
"Ford Exploratory Adit","Iron","80","90","7","12","1",0,"35","38.799999999999997",NA,"42095",NA,NA,"High","74","c","45",0,NA,NA,29,"0"
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,NA,"35.6",NA,"42777",NA,NA,NA,"86","c","8",8,7,1,78,"0"
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,"30","34.700000000000003",NA,"43148",NA,NA,NA,"46",NA,"1",1,1,0,45,"0"
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,"36","39.200000000000003","84.9","43448",NA,NA,NA,"48",NA,"0",NA,NA,NA,48,"0"
"Ford Exploratory Adit",NA,NA,NA,NA,NA,NA,NA,"32","39.200000000000003","84.9","43826",NA,NA,NA,"109",NA,"1",0,NA,NA,107,"1"
"Fort Custer Tunnels","Tunnel","1000",NA,NA,NA,"1",0,NA,NA,NA,"42076",NA,NA,NA,"0","c","0",NA,NA,NA,0,"0"
"Galena Mine","Iron","30","180","6","6","1",0,"27.4","37.4",NA,"38787",NA,NA,"High","1","C","1",1,1,0,0,"0"
"Glen Adit #1","Copper","155","265","5","6","1",0,"26.2","36.5-40.1","81-90","35865",NA,NA,"Low","560","C","551",29,25,4,9,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40238",NA,NA,NA,"626","C","617",0,NA,NA,9,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,"28.4","41.9","92.9","40963",NA,NA,NA,"602","C","590",68,53,15,12,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41243",NA,NA,NA,"280","c","280",NA,NA,NA,0,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41971",NA,NA,NA,"322","c","306",304,266,38,16,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44148",NA,NA,NA,"4",NA,"1",1,1,0,3,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44259",NA,NA,NA,"61",NA,"44",44,44,0,17,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44510",NA,NA,NA,"1",NA,"1",1,1,0,0,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44626",NA,NA,NA,"34",NA,"22",22,22,0,12,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44876",NA,NA,NA,"1",NA,"1",1,1,0,0,"0"
"Glen Adit #1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44986",NA,NA,NA,"59",NA,"47",47,47,0,12,"0"
"Glen Adit #2","Copper","46","260","4","6","1",0,"26.2","30.2","88","35865",NA,NA,"Low","4","C","2",2,1,1,2,"0"
"Glen Adit #2",NA,NA,NA,NA,NA,NA,NA,"28.4","35.6","83.6","40963",NA,NA,NA,"1","C","1",1,0,1,0,"0"
"Glen Adit #2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41243",NA,NA,NA,"7","c","6",6,1,5,1,"0"
"Glen Adit #3","Copper","79","345","5","10","1",0,"26.2","32","88-100","35865",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Glen Adit #3",NA,NA,NA,NA,NA,NA,NA,"28.4","34.7-35.6","100","40963",NA,NA,NA,"6","C","1",1,0,1,5,"0"
"Glen Adit #3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41243",NA,NA,NA,"4","c","2",2,0,2,2,"0"
"Goodrich Adit A","Iron","200","310","3","4","1",0,"41","42.8","91","40634",NA,NA,"Low","1","C","1",0,NA,NA,NA,NA
"Goodrich Adit B","Iron","102","285","6","7","1",0,"41","41","83","40634",NA,NA,"Low","17","C","15",15,2,13,2,"0"
"Goodrich Mine Tunnel","Iron","276","280","10","15","1",0,"41","33.9","65","40634",NA,NA,"Low","0","C",NA,NA,NA,NA,NA,NA
"Hammel Creek Railroad Tunnel","Tunnel","150","270","8","10","1",0,"22.1","28.4",NA,"42365",NA,NA,"Low","0","c","0",0,0,0,0,"0"
"Hancock Mine (Dupee Shaft)","Copper","640",NA,NA,NA,NA,1,NA,"49-50","92-96","35104",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Hendrie River Water Cave","Limestone","2049",NA,NA,NA,"1",0,"32",NA,NA,"39901",NA,NA,"Medium","46",NA,"46",0,NA,NA,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40257",NA,NA,NA,"135","C","135",135,115,20,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"33","39.200000000000003","89","40587",NA,NA,NA,"68","C","68",0,NA,NA,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"23","36.5-42.8","100","40958",NA,NA,NA,"102","C","102",98,91,7,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,"40.1","100","41329",NA,NA,NA,"97","c","97",0,NA,NA,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41721",NA,NA,NA,"39","C","39",0,NA,NA,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"4","39.200000000000003",NA,"42414",NA,NA,NA,"1","c","1",1,1,0,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,"42787",NA,NA,NA,"1","c","1",1,1,0,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,"27","41",NA,"43525",NA,NA,NA,"1",NA,"1",1,1,0,0,"0"
"Hendrie River Water Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43908",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Henwood Mine (Douglas Houghton)","Copper","254","226","3","5","1",1,"16.7","25-32.5","66-88","35428",NA,NA,"Medium","1","C","0",0,NA,NA,1,"0"
"Henwood Mine (Douglas Houghton)",NA,NA,NA,NA,NA,NA,NA,NA,"1.2-3.3",NA,"45393",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Hilton (Shaft 1)","Copper","97",NA,"5","10","1",1,NA,"37.9",NA,"36145",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Hilton (Shaft 1)",NA,NA,NA,NA,NA,"1",1,"29","34.700000000000003","100","40899",NA,NA,"High","6","C","5",4,0,4,0,"1"
"Hilton (Shaft 1)",NA,NA,NA,NA,NA,NA,NA,"47","40.1","78","43449",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Hilton Ohio (Hilton #5 Adit)","Copper","32","255","6","6","1",0,"21.5","23.9",NA,"35864",NA,NA,"Medium","0","C","0",0,NA,NA,0,"0"
"Hilton Ohio (Hilton #5 Adit)",NA,NA,NA,NA,NA,NA,NA,NA,"24.8",NA,"36911",NA,NA,NA,"0","C","0",0,NA,NA,NA,NA
"Hilton Ohio (Hilton #5 Adit)",NA,NA,NA,NA,NA,"1",0,"28","32.9","100","40899",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Hole-in-the-Wall Adit","Copper","10","50",NA,NA,"1",0,NA,NA,NA,"36176",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Indiana Mine","Copper","125","233","7","12","1",1,NA,"39.299999999999997",NA,"36629",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Indiana Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38444",NA,NA,NA,"5","C","4",0,NA,NA,1,"0"
"Indiana Mine",NA,NA,NA,NA,NA,NA,NA,NA,"3.5-4.8",NA,"45400",NA,NA,NA,"37","c","37",31,31,0,0,"0"
"Iron Mountain Iron Mine (Tourist Mine)","Iron","3500",NA,NA,NA,"2",2,"38.200000000000003","34.5-47.5",NA,"34778",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"<49.2",NA,"39837",NA,NA,NA,"18738","C","18713",0,NA,NA,20,"5"
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"42.1-49.1",NA,"41349",NA,NA,NA,"23891","C","23888",811,811,0,1,"2"
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"43.7-49.6",NA,"42786",NA,NA,NA,"1118","c","1103",710,710,0,13,"0"
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,"37","48.7-50","93.8-93.9","43828",NA,NA,NA,"525",NA,"510",470,470,0,14,"1"
"Iron Mountain Iron Mine (Tourist Mine)",NA,NA,NA,NA,NA,NA,NA,NA,"5.1-8.9",NA,"45363",NA,NA,NA,"1087","c","770",737,737,0,13,NA
"Isabella Mine","Iron","50+",NA,NA,NA,"?",0,"?","?","?","38414",NA,NA,"Medium","0",NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, Pit 1, Adit 1","Iron","80","240","8","10","1",0,NA,"34","73","40602",NA,NA,"High","2","C","2",2,2,0,0,"0"
"Jackson Mine, Pit 4, Tunnel, Adit 2","Iron","105","240",NA,NA,"1",0,NA,"26.6",NA,"40602",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Jackson Mine, Pit 4, Adit 3","Iron","40","240","8","8","1",0,NA,"29.3",NA,"40602",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Jackson Mine, Pit 4, Adit 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson Mine, A Working","Iron","209","90","20","75","1",0,"23","27.5","79.7","40973",NA,NA,"High","0","C","0",0,0,0,0,"0"
"Jackson Mine, A Working",NA,NA,NA,NA,NA,NA,NA,"7","23.8",NA,"43173",NA,NA,NA,"0",NA,NA,NA,0,0,0,NA
"Jackson Mine, B Working","Iron",NA,NA,"6","9","1",0,"25","32","82","40973",NA,NA,"High","6","C","5",0,0,0,1,"0"
"Jackson Mine, B Working",NA,NA,NA,NA,NA,NA,NA,"7","31.7",NA,"43173",NA,NA,NA,"2",NA,"0",NA,0,0,2,"0"
"Jackson Mine, Tram Tunnel","Iron",NA,"330","10","10","1",0,"25","28.4-35.6","70.5-83.6","40973",NA,NA,"High","58","C","18",18,14,4,38,"2"
"Jackson Mine, Tram Tunnel",NA,NA,NA,NA,NA,NA,NA,"7","32.299999999999997",NA,"43173",NA,NA,NA,"22",NA,"6",6,6,0,16,"0"
"Jackson Mine, Tram Tunnel Exit","Iron","120","150","7","10","1",0,"23","32","100","40973",NA,NA,"High","6","C","6",0,NA,NA,0,"0"
"Jackson Mine, Tram Tunnel Exit",NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,"43173",NA,NA,NA,"0",NA,"0",NA,0,0,0,"0"
"Jones' Adit","Iron","705","30","1.5","5","1",0,NA,NA,NA,"39446",NA,NA,"Medium","260","C","257",0,NA,NA,0,"3"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"< 0","45","100","39838",NA,NA,NA,"442","C","438",NA,NA,NA,0,"4"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"24","48.2-49.1","91-93","40607",NA,NA,NA,"415","C","411",20,20,0,0,"4"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"36.5","48.2","100","40962",NA,NA,NA,"297","C","293",53,53,0,0,"4"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,NA,"48.2",NA,"41348",NA,NA,NA,"317","c","314",0,NA,NA,0,"3"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41692",NA,NA,NA,"437","c","435",435,423,12,0,"2"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42057",NA,NA,NA,"730","c","728",725,622,103,0,"2"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"40","48",NA,"42420",NA,NA,NA,"694","c","694",691,689,2,0,"0"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"34","47.3-48.2",NA,"42777",NA,NA,NA,"2","c","2",2,2,0,0,"0"
"Jones' Adit",NA,NA,NA,"5","8",NA,NA,"44","46.4-48.2","93.8-100","43448",NA,NA,NA,"17",NA,"17",16,15,1,0,"0"
"Jones' Adit",NA,NA,NA,NA,NA,NA,NA,"30","46.4-48.2","87.3-93.5","43827",NA,NA,NA,"27",NA,"25",25,25,0,2,"0"
"Keel Ridge Mine","Iron","380","300","6","5","1",0,"18.2","39-51","98-100","35069",NA,NA,"Low","246","C","242",71,65,6,2,"2"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35885",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"48",NA,"38350",NA,NA,NA,"394","C","393",0,NA,NA,0,"1"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,"55-60","45-46",NA,"39165",NA,NA,NA,"268","C","267",0,NA,NA,0,"1"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39893",NA,NA,NA,"206","C/E","203",NA,NA,NA,0,"3"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40131",NA,NA,NA,"280","C","275",0,NA,NA,0,"5"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40264",NA,NA,NA,"294","C","290",0,NA,NA,0,"4"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"48.2","91","40488",NA,NA,NA,"324","C","324",0,NA,NA,0,"0"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40628",NA,NA,NA,"262","C","262",0,NA,NA,0,"0"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.9-48.2","93.6-100","41348",NA,NA,NA,"228","C","222",0,194,8,0,"6"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41694",NA,NA,NA,"304","c","300",254,244,10,0,"4"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42057",NA,NA,NA,"590","c","587",532,525,7,0,"3"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,"40","46-47",NA,"42420",NA,NA,NA,"225","c","221",199,198,1,0,"4"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,"34","45.5-48.2",NA,"42777",NA,NA,NA,"46","c","45",43,43,0,1,"0"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43070",NA,NA,NA,"93",NA,NA,NA,88,1,0,"4"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43479",NA,NA,NA,"109",NA,"103",103,103,0,0,"6"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44258",NA,NA,NA,"107",NA,"107",107,107,0,0,"0"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45028",NA,NA,NA,"35",NA,"30",0,0,0,0,"5"
"Keel Ridge Mine",NA,NA,NA,NA,NA,NA,NA,NA,"5.2-7.3",NA,"45394",NA,NA,NA,"20","c","18",3,3,0,0,"2"
"Keel Ridge New Adit","iron","30","30","4","10","1",0,"22","33",NA,"41606",NA,NA,"High","0","c","0",NA,NA,NA,0,"0"
"Keel Ridge Shaft","iron","492","NA","7","7","1",2,"22","51.4",NA,"41606",NA,NA,"low","794","c","784",784,760,24,6,"4"
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"32-44",NA,"42386",NA,NA,NA,"602","c","593",587,580,7,6,"3"
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,"42776",NA,NA,NA,"60","c","54",54,53,1,1,"2"
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,"44","46.4-50","93.9-96.7","43448",NA,NA,NA,"114",NA,"112",112,112,0,2,"0"
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45028",NA,NA,NA,"150",NA,"150",25,25,0,0,"0"
"Keel Ridge Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"1.5-6.0",NA,"45394",NA,NA,NA,"371","c","370",320,320,0,1,"0"
"Knowlton Mine","Copper","400+",NA,NA,NA,NA,0,"18","45-46","93","35417",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Kochab Cave","Limestone","528",NA,NA,NA,"0",0,NA,NA,NA,"29316",NA,NA,NA,"3","C","3",1,1,0,0,"0"
"Kochab Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29636",NA,NA,NA,"1","C","1",1,0,1,0,"0"
"Kochab Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40257",NA,NA,NA,"0","c",NA,NA,NA,NA,NA,NA
"Lafayette East Adit","Copper","25","360","6","4","1",0,NA,NA,NA,"38660",NA,NA,"Low","0","C",NA,NA,NA,NA,NA,NA
"Lafayette East Adit",NA,NA,NA,NA,NA,NA,NA,"55.4","52.7","80","40859",NA,NA,NA,"0","C","0",NA,NA,NA,0,"0"
"Lafayette East Adit",NA,NA,NA,NA,NA,NA,NA,"42.8","43.7",NA,"42322",NA,NA,NA,"0","c","0",NA,NA,NA,0,"0"
"Lafayette East Adit",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","39.200000000000003",NA,"43056",NA,NA,NA,"0","c","0",NA,NA,NA,0,"0"
"Lafayette East Shaft","Copper","420","330","2","5","1",0,NA,"44.7-46.4",NA,"38662",NA,NA,"Low","2261","C","2259",31,29,2,1,"1"
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,"55.4","46.4-48.2","100","40859",NA,NA,NA,"2804","C","2804",NA,NA,NA,0,"0"
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,"42.8","46.4-48.2",NA,"42322",NA,NA,NA,"2582","c","2582",1257,1240,17,0,"0"
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","41.9-48.2",NA,"43056",NA,NA,NA,"443","c","442",440,436,4,1,"0"
"Lafayette East Shaft",NA,NA,NA,NA,NA,NA,NA,NA,"7.5-7.7",NA,"45250",NA,NA,NA,"1106","c","1103",1103,1103,NA,2,"1"
"Lafayette West Adit","Copper","75","315","2.5","4","1",0,NA,"48",NA,"38660",NA,NA,"Low","7","C","7",7,4,3,0,"0"
"Lafayette West Adit",NA,NA,NA,NA,NA,NA,NA,"55.4","49.1","100","40859",NA,NA,NA,"4","C","4",4,1,3,0,"0"
"Lafayette West Adit",NA,NA,NA,NA,NA,NA,NA,"42.8","43.7",NA,"42322",NA,NA,NA,"18","c","18",18,4,14,0,"0"
"Lafayette West Adit",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","45.5",NA,"43056",NA,NA,NA,"6","c","6",6,3,3,0,"0"
"Lafayette West Shaft","Copper","95","345","2","5","1",0,NA,"45.3",NA,"38662",NA,NA,"Low","35","C","34",NA,NA,NA,1,"0"
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,"55.4","50",NA,"40859",NA,NA,NA,"52","C","52",NA,NA,NA,0,"0"
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,"42.8","48.5",NA,"42322",NA,NA,NA,"55","c","55",0,NA,NA,0,"0"
"Lafayette West Shaft",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,NA,"43056",NA,NA,NA,"10","c","10",10,10,NA,NA,NA
