"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-48.2","91-95","40603",NA,NA,NA,"3691","C","3691",0,NA,NA,0,"0"
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"48.2",NA,"42783",NA,NA,NA,"30","c","30",22,22,0,0,"0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.0-10.2",NA,"45373",NA,NA,NA,"9","c","9",0,NA,NA,NA,NA
"Quincy Shaft","Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinnesec Adit","Iron","477","30","2","3.5","1",0,"35.6","46.9-47.8","95-100","40487",NA,NA,NA,"2576","C","2572",0,NA,NA,0,"4"
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,NA,"47.3","100","41338",NA,NA,NA,"2564","C","2554",2537,2538,16,1,"9"
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,NA,"47.8",NA,"42776",NA,NA,NA,"30","c","28",28,28,0,1,"1"
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,"44","49.1","93.8","43448",NA,NA,NA,"40",NA,"36",36,36,0,4,"0"
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,"35","48","93.7","43826",NA,NA,NA,"29",NA,"29",29,29,0,0,"0"
"Randville Quarry Mine","Dolomite","331",NA,"15","20","1",0,"29","28.1-29.7","65-71","35072",NA,NA,"High","35","C","0",NA,NA,NA,35,"0"
"Randville Quarry Mine",NA,NA,NA,NA,NA,NA,NA,NA,"27.5",NA,"41705",NA,NA,NA,"42","C","2",0,NA,NA,40,"0"
"Randville Quarry Mine",NA,NA,NA,NA,NA,NA,NA,"30","34.700000000000003",NA,"43148",NA,NA,NA,"32",NA,"12",0,NA,NA,20,"0"
"Ridge Adit","Copper","49","60","6","6","1",0,"16.7","32.5","90","35864",NA,NA,"High","12","C","10",8,0,8,2,"0"
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"30","37.4","100","40899",NA,NA,NA,"6","C","5",5,0,5,1,"0"
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"17","37.4",NA,"41337",NA,NA,NA,"1","c","0",NA,NA,NA,1,"0"
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"47","43.7","86.4","43449",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Rockland Mine, Shaft 3","Copper","800","NA","8","12","3",1,NA,"44.6",NA,"41994",NA,NA,"Low","3263","c","3263",0,NA,NA,0,"0"
"Rockport Quarry North Tunnel","Concrete","500","145","2","4",NA,NA,NA,"38.299999999999997","90","40251",NA,NA,"Medium","64","C","57",0,NA,NA,5,"2"
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","66","40586",NA,NA,NA,"99","C","97",0,NA,NA,2,"0"
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,"29.3","35.6-39.2","100","40957",NA,NA,NA,"101","C","98",71,68,3,3,"0"
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41601",NA,NA,"Low","383","c","379",0,NA,NA,3,"1"
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41720",NA,NA,NA,"33","C","31",0,NA,NA,1,"1"
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42698",NA,NA,NA,"1","c","1",1,1,0,0,"0"
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,"41","41-42.4","86-93","43428",NA,NA,NA,"9",NA,"2",2,2,0,7,"0"
"Rockport Quarry South Tunnel","Concrete","225","145","4","4",NA,NA,NA,NA,NA,"40251",NA,NA,"Medium","1","C","0",0,NA,NA,0,"1"
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","81","40586",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,"29.3","35.6-37.4","100","40957",NA,NA,NA,"3","C","0",0,NA,NA,0,"3"
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","100","41328",NA,NA,NA,"1","c","1",1,1,0,0,"0"
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41601",NA,NA,NA,"2","c","1",1,0,1,0,"1"
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41720",NA,NA,"Low","1","C","0",NA,NA,NA,0,"1"
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,"41","51","94","43428",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Scott Falls Cave","Sandstone","20","70","15","25",NA,NA,"23","28.4",NA,"40977",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"Scott Falls Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43434",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Scott Falls Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43786",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Scott's Cave","Limestone","7",NA,"8.5","17.5",NA,NA,NA,NA,NA,"40314",NA,NA,"Medium","0","C","0",NA,NA,NA,0,"0"
"Seneca Mine #3","Copper","2039","NA","8","20","2",1,NA,"46.4-49.8",NA,"41736",NA,NA,"Low","3201","C","3201",0,NA,NA,0,"0"
"Silas Doty Cave","Tufa","18",NA,"2.5","3",NA,NA,"42","39-41",NA,"38802",NA,NA,"High","0","C","0",NA,NA,NA,0,"0"
"Silas Doty Cave",NA,NA,NA,NA,NA,NA,NA,"27","34",NA,"40608",NA,NA,NA,"0","C","0",NA,NA,NA,0,"0"
"Silver Mountain Mine","Copper","147",NA,"5","5","1",0,"35.4","42.2-45.5","90","35399",NA,NA,"Medium","1036","C","1036",44,41,3,0,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37216",NA,NA,NA,"1131","C","1131",0,NA,NA,0,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"50","47.1","95","40130",NA,NA,NA,"1401","C","1401",0,NA,NA,0,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"19.399999999999999","44.6","91","40508",NA,NA,NA,"1536","C","1524",0,NA,NA,11,"1"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"24.1","44.6","100","41277",NA,NA,NA,"1302","C","1280",0,NA,NA,22,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,"41992",NA,NA,NA,"1580","c","1572",1572,1500,72,8,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,"42334",NA,NA,NA,"1342","c","1340",1339,1317,21,2,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"23","47.3",NA,"42693",NA,NA,NA,"247","c","247",247,243,3,0,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43068",NA,NA,NA,"271",NA,"269",NA,264,5,2,"0"
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"36","46",NA,"43785",NA,NA,NA,"113",NA,"111",111,110,1,2,"0"
"Skull Cave","Limestone","20",NA,"3.5","13.5","1",0,NA,NA,NA,"40313",NA,NA,"High","0","C","0",NA,NA,NA,0,"0"
"South Belt Mine","Copper","625",NA,"6","12","1",2,"16","22-37.5","71-100","35079",NA,NA,"Low","1302","C","1290",40,39,1,12,"0"
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36949",NA,NA,"Low","2076","C","2028",0,NA,NA,48,"0"
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,"36.4","33.5-37","92","39879",NA,NA,NA,"1513","C","1461",0,NA,NA,51,"1"
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"37.4-38.3","89","40627",NA,NA,NA,"1299","C","1285",0,NA,NA,14,"0"
"South Bluff Adit","Copper","145","55","5","6","1",0,"37.5","45.8-47.3","91","36145",NA,NA,"Low","235","C","234",23,21,2,NA,"1"
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40242",NA,NA,"Low","117","C","113",0,NA,NA,3,"1"
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,"47.8","46.2-47.3","100","40860",NA,NA,NA,"141","C","140",NA,NA,NA,0,"1"
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40963",NA,NA,NA,"109","C","105",92,82,10,3,"1"
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42321",NA,NA,NA,"100","c","98",97,97,0,1,"1"
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,"42780",NA,NA,NA,"19","c","9",9,8,1,10,"0"
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,"26","46.4","87.1","43451",NA,NA,NA,"15",NA,"13",13,13,0,2,"0"
"South Bluff East Adit","Copper","316","57.5","2","5","1",0,NA,"45.5-48",NA,"39024",NA,NA,"Low","2391","C","2381",0,NA,NA,2,"8"
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40130",NA,NA,NA,"2067","C","2063",0,NA,NA,2,"2"
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,"51.8","46.4-47.3","100","40860",NA,NA,NA,"1999","C","1996",0,NA,NA,1,"2"
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42321",NA,NA,NA,"1322","c","1317",1125,1121,4,0,"5"
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,"27","45.5-47.8",NA,"42693",NA,NA,NA,"116","c","115",113,110,3,2,"0"
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,"29","46.4-47.3","86.6-100","43420",NA,NA,NA,"52",NA,"50",NA,50,0,2,"0"
"South Lake Mine","Copper","1402","345",NA,NA,"2",2,NA,"33.7-43.8","77-94","35109",NA,NA,"Medium","1746","C","1568",88,85,3,178,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"38-44",NA,"37314",NA,NA,NA,"1965","C","1831",0,NA,NA,131,"3"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39858",NA,NA,NA,"1674","C","1536",0,NA,NA,136,"2"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"39.200000000000003","82","40606",NA,NA,NA,"2669","C","2520",NA,NA,NA,146,"3"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41337",NA,NA,NA,"3182","C","2982",0,NA,NA,200,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42061",NA,NA,NA,"2901","c","2782",2564,2451,113,119,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43777",NA,NA,NA,"1325",NA,"1325",NA,1324,1,NA,NA
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44147",NA,NA,NA,"1349",NA,"1312",1312,1312,0,37,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44260",NA,NA,NA,"834",NA,"691",691,691,0,143,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44511",NA,NA,NA,"1190",NA,"1169",1169,1169,0,21,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44627",NA,NA,NA,"908",NA,"719",719,719,0,189,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44875",NA,NA,NA,"1117",NA,"1077",1077,1077,0,40,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44988",NA,NA,NA,"1034",NA,"844",844,844,0,190,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"34.7-40.1",NA,"42779",NA,NA,NA,"1966","c","1798",1599,1599,0,168,"0"
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"0.8-3.8",NA,"45350",NA,NA,NA,"1082","c","882",882,882,0,200,"0"
"Spider Cave","Dolomite","30",NA,NA,NA,"1",0,NA,NA,NA,"43090",NA,NA,"Low","0",NA,"0",0,0,0,0,"0"
"Spider Cave",NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,"43421",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Stair Cave","Limestone","4",NA,"4","12",NA,NA,NA,NA,NA,"40314",NA,NA,"High","0","C","0",NA,NA,NA,0,"0"
"Sugarloaf Cave","Limestone","40",NA,"5.5","3.5",NA,NA,NA,NA,NA,"40313",NA,NA,"Medium","0","C","0",NA,NA,NA,0,"0"
"Sunday Lake Mine, Shaft #6","Iron","?",NA,"0.5","4","?",0,NA,NA,NA,"38411",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Taylor Adit","Iron","115","135","1.5","2","1",0,NA,"49",NA,"40241",NA,NA,"Medium","250","C","250",29,21,8,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","46.4","93.5","40973",NA,NA,"Medium","230","C","229",229,212,17,0,"1"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,"~45","46","100","41362",NA,NA,NA,"201","c","200",187,158,19,0,"1"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41971",NA,NA,NA,"285","c","285",285,201,84,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144","c","144",144,128,16,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44147",NA,NA,NA,"20",NA,"20",20,20,0,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44259",NA,NA,NA,"19",NA,"19",19,19,0,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44510",NA,NA,NA,"29",NA,"29",29,29,0,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44627",NA,NA,NA,"27",NA,"27",27,27,0,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44875",NA,NA,NA,"36",NA,"36",36,35,1,0,"0"
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44986",NA,NA,NA,"34",NA,"34",34,34,0,0,"0"
"Tilden Mine","Iron","?","NA","15","30","1",1,NA,NA,NA,"39885",NA,NA,"Low","?",NA,NA,NA,NA,NA,NA,NA
"Tippy Dam","Concrete","150","NA",NA,NA,"NA",NA,NA,"4.7 + .05 (SE) C","92 ± 3","40250",NA,NA,"Low","17550","C","17542",0,NA,NA,1,"7"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40961",NA,NA,NA,"24360","c","24350",NA,NA,NA,0,"10"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,"32-33",NA,"41330",NA,NA,NA,"20116","C","20101",0,NA,NA,1,"14"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42056",NA,NA,NA,"21381","c","21371",0,NA,NA,0,"10"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,"40.1",NA,"42794",NA,NA,NA,"27423","c","27415",0,NA,NA,0,"8"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,"26","35",NA,"43147",NA,NA,NA,"23531",NA,"23516",0,NA,NA,0,"15"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43510",NA,NA,NA,"24133",NA,"24121",0,NA,NA,0,"12"
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","30",3923,NA,"26962",NA,NA,NA,NA,0,0,"7"
"Toltec Mine","Copper","63","0","12","8","1",1,NA,"43","93","36512",NA,NA,"Low","450","C","450",28,26,2,0,"0"
"Toltec Mine",NA,NA,NA,NA,NA,NA,NA,NA,"43.6","88","40239",NA,NA,NA,"836","C","836",0,NA,NA,0,"0"
"Toltec Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43151",NA,NA,NA,"79",NA,"79",NA,79,0,0,"0"
"Tracy MineService Tunnels","Concrete","925",NA,NA,NA,"2",0,"17","41","50","40602",NA,NA,"Low","17","C","2",2,0,2,15,"0"
"Trader's Mine","Iron","500","225","5","10","1",0,NA,NA,NA,"35130",NA,NA,"Low","?",NA,NA,NA,NA,NA,NA,NA
"Trader's Mine",NA,NA,NA,NA,NA,"1",0,"20","41.9-42.8",NA,"41704",NA,NA,NA,"666","C","636",587,540,47,16,"14"
"Union Mine","Copper","0",NA,NA,NA,"0",0,NA,NA,NA,"42208",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Unknown Keweenaw",NA,NA,NA,NA,NA,NA,NA,NA,"3.2-4.4",NA,"45329",NA,NA,NA,"205","c","205",205,0,0,0,"0"
"Unknown working","Copper","12",NA,"15","15","0",1,NA,NA,NA,"38413",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Vivian Adit","Iron","20","10","5","7","1",0,"20","30.2",NA,"41691",NA,NA,"Low","5","c","0",NA,NA,NA,5,"0"
"Vivian Adit",NA,NA,NA,NA,NA,NA,NA,NA,"40.1","78","43448",NA,NA,NA,"1",NA,"0",NA,NA,NA,1,"0"
"Vulcan Adit","Iron","?",NA,NA,NA,"?",0,NA,NA,NA,"40239",NA,NA,"low","?",NA,NA,NA,NA,NA,NA,NA
"Wakefield Water Tunnel",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,"40897",NA,NA,"Low","?",NA,NA,NA,NA,NA,NA,NA
"Washburn Mine","Gold?","117","120","6","3","1",0,"31.5","43.7",NA,"39024",NA,NA,"Medium","74","C","74",17,12,5,0,"0"
"Washburn Mine",NA,NA,NA,"6","4",NA,NA,"30","39.200000000000003","83","40897",NA,NA,NA,"35","C","35",27,14,13,0,"0"
"Washburn Mine",NA,NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,"43169",NA,NA,NA,"25",NA,"25",25,25,0,0,"0"
"Washburn Mine",NA,NA,NA,NA,NA,NA,NA,"15","37.4","54.2","43818",NA,NA,NA,"21",NA,"21",21,21,0,0,"0"
"West Evergreen Adit","Copper","15","315","5","5","1",0,"35.6","39.200000000000003","82","40858",NA,NA,"High","0","C","0",0,NA,NA,0,"0"
"West Evergreen Bluff Mine","Copper",NA,"NA","2","2","4",1,"39.9","39.9-43","83-90","36143",NA,NA,"Low","4523","C","4519",25,24,1,2,"2"
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,NA,"42.4-44.0",NA,"38661",NA,NA,"Low","6595","C","6585",0,NA,NA,10,NA
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,"35.6","42.8-44.6","100","40858",NA,NA,NA,"5625","C","5619",0,NA,NA,3,"3"
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42335",NA,NA,NA,"3092","c","3092",0,NA,NA,0,"0"
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,"29","41.9-44.6","86.6-92.9","43420",NA,NA,NA,"788",NA,"788",NA,787,1,0,"0"
"West Vein Adit (Robin's Ore)","Copper","150","16","3","4","1",0,"20","39.200000000000003","92.4","43847",NA,NA,"Medium","185",NA,"185",162,162,0,0,"0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1-1.5",NA,"45366",NA,NA,NA,"229","c","224",224,224,0,5,"0"
"White Pine Mine","Copper",">10,000","NA",NA,NA,"1",1,NA,"41.9-49.1","84-100","40635",NA,NA,"Low","2","C","2",1,1,NA,0,"0"
"White Pine Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42062",NA,NA,NA,"0","c","0",NA,NA,NA,0,"0"
"Windsor Shaft #3","Copper","696","180","7","7","4",1,"34.1","34-44","74-91","12","15",NA,"Low","2568","C","2450",25,25,0,118,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"23","31.1-42.8","77-84","40509",NA,NA,NA,"3418","C","3285",0,NA,NA,133,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"30.6","32-44.9","91-96","41278",NA,NA,NA,"2782","C","2646",0,NA,NA,136,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,NA,"35.6-?",NA,"41991",NA,NA,NA,"2032","c","1884",119,110,9,148,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,NA,"38.3-43",NA,"42333",NA,NA,NA,"3030","c","2892",611,591,20,138,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"40.5-41","40.1-44.6",NA,"42692",NA,NA,NA,"3483","c","3046",308,305,3,129,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,NA,"43057",NA,NA,NA,"1779","c","1638",NA,NA,NA,141,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"39","36.3-?",NA,"43785",NA,NA,NA,"1921",NA,"1746",92,92,0,175,"0"
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,NA,"2.8-4.5",NA,"44937",NA,NA,NA,"2321","c","1982",236,236,NA,339,NA
"Young's Adit","Copper","500","180","6","3","1",NA,"ca. 50","≤44.5","89","40242",NA,NA,"Low","276","C","265",28,27,1,8,"3"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,"32.9-?","91.7-100","40964",NA,NA,NA,"224","C","203",175,165,10,11,"10"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41693",NA,NA,NA,"188","c","182",175,164,11,2,"4"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42059",NA,NA,NA,"234","c","219",192,174,18,7,"8"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,"33.8-42.8",NA,"42422",NA,NA,NA,"219","c","205",203,201,2,10,"4"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,"34","≤41",NA,"42780",NA,NA,NA,"60","c","50",50,50,0,8,"2"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43817",NA,NA,NA,"31",NA,"22",22,22,0,9,"0"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44665",NA,NA,NA,"32",NA,"29",29,29,0,3,"0"
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45031",NA,NA,NA,"29",NA,"29",29,29,0,0,"0"
