"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","date","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips","year","month","day"
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4-48.2","91-95",2011-03-01,NA,"3691","C","3691",0,NA,NA,0,"0",2011,3,1
"Quincy Mine Adit",NA,NA,NA,NA,NA,NA,NA,NA,"48.2",NA,2017-02-17,NA,"30","c","30",22,22,0,0,"0",2017,2,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.0-10.2",NA,2024-03-22,NA,"9","c","9",0,NA,NA,NA,NA,2024,3,22
"Quincy Shaft","Copper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinnesec Adit","Iron","477","30","2","3.5","1",0,"35.6","46.9-47.8","95-100",2010-11-05,NA,"2576","C","2572",0,NA,NA,0,"4",2010,11,5
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,NA,"47.3","100",2013-03-05,NA,"2564","C","2554",2537,2538,16,1,"9",2013,3,5
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,NA,"47.8",NA,2017-02-10,NA,"30","c","28",28,28,0,1,"1",2017,2,10
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,"44","49.1","93.8",2018-12-14,NA,"40",NA,"36",36,36,0,4,"0",2018,12,14
"Quinnesec Adit",NA,NA,NA,NA,NA,NA,NA,"35","48","93.7",2019-12-27,NA,"29",NA,"29",29,29,0,0,"0",2019,12,27
"Randville Quarry Mine","Dolomite","331",NA,"15","20","1",0,"29","28.1-29.7","65-71",1996-01-08,"High","35","C","0",NA,NA,NA,35,"0",1996,1,8
"Randville Quarry Mine",NA,NA,NA,NA,NA,NA,NA,NA,"27.5",NA,2014-03-07,NA,"42","C","2",0,NA,NA,40,"0",2014,3,7
"Randville Quarry Mine",NA,NA,NA,NA,NA,NA,NA,"30","34.700000000000003",NA,2018-02-17,NA,"32",NA,"12",0,NA,NA,20,"0",2018,2,17
"Ridge Adit","Copper","49","60","6","6","1",0,"16.7","32.5","90",1998-03-10,"High","12","C","10",8,0,8,2,"0",1998,3,10
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"30","37.4","100",2011-12-22,NA,"6","C","5",5,0,5,1,"0",2011,12,22
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"17","37.4",NA,2013-03-04,NA,"1","c","0",NA,NA,NA,1,"0",2013,3,4
"Ridge Adit",NA,NA,NA,NA,NA,NA,NA,"47","43.7","86.4",2018-12-15,NA,"0",NA,"0",0,0,0,0,"0",2018,12,15
"Rockland Mine, Shaft 3","Copper","800","NA","8","12","3",1,NA,"44.6",NA,2014-12-21,"Low","3263","c","3263",0,NA,NA,0,"0",2014,12,21
"Rockport Quarry North Tunnel","Concrete","500","145","2","4",NA,NA,NA,"38.299999999999997","90",2010-03-14,"Medium","64","C","57",0,NA,NA,5,"2",2010,3,14
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","66",2011-02-12,NA,"99","C","97",0,NA,NA,2,"0",2011,2,12
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,"29.3","35.6-39.2","100",2012-02-18,NA,"101","C","98",71,68,3,3,"0",2012,2,18
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2,23
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-11-23,"Low","383","c","379",0,NA,NA,3,"1",2013,11,23
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,NA,"33","C","31",0,NA,NA,1,"1",2014,3,22
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-11-24,NA,"1","c","1",1,1,0,0,"0",2016,11,24
"Rockport Quarry North Tunnel",NA,NA,NA,NA,NA,NA,NA,"41","41-42.4","86-93",2018-11-24,NA,"9",NA,"2",2,2,0,7,"0",2018,11,24
"Rockport Quarry South Tunnel","Concrete","225","145","4","4",NA,NA,NA,NA,NA,2010-03-14,"Medium","1","C","0",0,NA,NA,0,"1",2010,3,14
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","81",2011-02-12,NA,"0","C","0",0,NA,NA,0,"0",2011,2,12
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,"29.3","35.6-37.4","100",2012-02-18,NA,"3","C","0",0,NA,NA,0,"3",2012,2,18
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,"35.6","100",2013-02-23,NA,"1","c","1",1,1,0,0,"0",2013,2,23
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-11-23,NA,"2","c","1",1,0,1,0,"1",2013,11,23
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,"Low","1","C","0",NA,NA,NA,0,"1",2014,3,22
"Rockport Quarry South Tunnel",NA,NA,NA,NA,NA,NA,NA,"41","51","94",2018-11-24,NA,"0",NA,"0",0,0,0,0,"0",2018,11,24
"Scott Falls Cave","Sandstone","20","70","15","25",NA,NA,"23","28.4",NA,2012-03-09,"High","0","C","0",0,NA,NA,0,"0",2012,3,9
"Scott Falls Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-30,NA,"0",NA,"0",0,0,0,0,"0",2018,11,30
"Scott Falls Cave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-17,NA,"0",NA,"0",0,0,0,0,"0",2019,11,17
"Scott's Cave","Limestone","7",NA,"8.5","17.5",NA,NA,NA,NA,NA,2010-05-16,"Medium","0","C","0",NA,NA,NA,0,"0",2010,5,16
"Seneca Mine #3","Copper","2039","NA","8","20","2",1,NA,"46.4-49.8",NA,2014-04-07,"Low","3201","C","3201",0,NA,NA,0,"0",2014,4,7
"Silas Doty Cave","Tufa","18",NA,"2.5","3",NA,NA,"42","39-41",NA,2006-03-26,"High","0","C","0",NA,NA,NA,0,"0",2006,3,26
"Silas Doty Cave",NA,NA,NA,NA,NA,NA,NA,"27","34",NA,2011-03-06,NA,"0","C","0",NA,NA,NA,0,"0",2011,3,6
"Silver Mountain Mine","Copper","147",NA,"5","5","1",0,"35.4","42.2-45.5","90",1996-11-30,"Medium","1036","C","1036",44,41,3,0,"0",1996,11,30
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-21,NA,"1131","C","1131",0,NA,NA,0,"0",2001,11,21
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"50","47.1","95",2009-11-13,NA,"1401","C","1401",0,NA,NA,0,"0",2009,11,13
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"19.399999999999999","44.6","91",2010-11-26,NA,"1536","C","1524",0,NA,NA,11,"1",2010,11,26
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"24.1","44.6","100",2013-01-03,NA,"1302","C","1280",0,NA,NA,22,"0",2013,1,3
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2014-12-19,NA,"1580","c","1572",1572,1500,72,8,"0",2014,12,19
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2015-11-26,NA,"1342","c","1340",1339,1317,21,2,"0",2015,11,26
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"23","47.3",NA,2016-11-19,NA,"247","c","247",247,243,3,0,"0",2016,11,19
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-11-29,NA,"271",NA,"269",NA,264,5,2,"0",2017,11,29
"Silver Mountain Mine",NA,NA,NA,NA,NA,NA,NA,"36","46",NA,2019-11-16,NA,"113",NA,"111",111,110,1,2,"0",2019,11,16
"Skull Cave","Limestone","20",NA,"3.5","13.5","1",0,NA,NA,NA,2010-05-15,"High","0","C","0",NA,NA,NA,0,"0",2010,5,15
"South Belt Mine","Copper","625",NA,"6","12","1",2,"16","22-37.5","71-100",1996-01-15,"Low","1302","C","1290",40,39,1,12,"0",1996,1,15
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-02-27,"Low","2076","C","2028",0,NA,NA,48,"0",2001,2,27
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,"36.4","33.5-37","92",2009-03-07,NA,"1513","C","1461",0,NA,NA,51,"1",2009,3,7
"South Belt Mine",NA,NA,NA,NA,NA,NA,NA,NA,"37.4-38.3","89",2011-03-25,NA,"1299","C","1285",0,NA,NA,14,"0",2011,3,25
"South Bluff Adit","Copper","145","55","5","6","1",0,"37.5","45.8-47.3","91",1998-12-16,"Low","235","C","234",23,21,2,NA,"1",1998,12,16
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-05,"Low","117","C","113",0,NA,NA,3,"1",2010,3,5
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,"47.8","46.2-47.3","100",2011-11-13,NA,"141","C","140",NA,NA,NA,0,"1",2011,11,13
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-24,NA,"109","C","105",92,82,10,3,"1",2012,2,24
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-13,NA,"100","c","98",97,97,0,1,"1",2015,11,13
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,NA,"46.4",NA,2017-02-14,NA,"19","c","9",9,8,1,10,"0",2017,2,14
"South Bluff Adit",NA,NA,NA,NA,NA,NA,NA,"26","46.4","87.1",2018-12-17,NA,"15",NA,"13",13,13,0,2,"0",2018,12,17
"South Bluff East Adit","Copper","316","57.5","2","5","1",0,NA,"45.5-48",NA,2006-11-03,"Low","2391","C","2381",0,NA,NA,2,"8",2006,11,3
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-11-13,NA,"2067","C","2063",0,NA,NA,2,"2",2009,11,13
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,"51.8","46.4-47.3","100",2011-11-13,NA,"1999","C","1996",0,NA,NA,1,"2",2011,11,13
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-13,NA,"1322","c","1317",1125,1121,4,0,"5",2015,11,13
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,"27","45.5-47.8",NA,2016-11-19,NA,"116","c","115",113,110,3,2,"0",2016,11,19
"South Bluff East Adit",NA,NA,NA,NA,NA,NA,NA,"29","46.4-47.3","86.6-100",2018-11-16,NA,"52",NA,"50",NA,50,0,2,"0",2018,11,16
"South Lake Mine","Copper","1402","345",NA,NA,"2",2,NA,"33.7-43.8","77-94",1996-02-14,"Medium","1746","C","1568",88,85,3,178,"0",1996,2,14
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"38-44",NA,2002-02-27,NA,"1965","C","1831",0,NA,NA,131,"3",2002,2,27
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-02-14,NA,"1674","C","1536",0,NA,NA,136,"2",2009,2,14
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"39.200000000000003","82",2011-03-04,NA,"2669","C","2520",NA,NA,NA,146,"3",2011,3,4
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-03-04,NA,"3182","C","2982",0,NA,NA,200,"0",2013,3,4
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-26,NA,"2901","c","2782",2564,2451,113,119,"0",2015,2,26
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-11-08,NA,"1325",NA,"1325",NA,1324,1,NA,NA,2019,11,8
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-12,NA,"1349",NA,"1312",1312,1312,0,37,"0",2020,11,12
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-05,NA,"834",NA,"691",691,691,0,143,"0",2021,3,5
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-11,NA,"1190",NA,"1169",1169,1169,0,21,"0",2021,11,11
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-07,NA,"908",NA,"719",719,719,0,189,"0",2022,3,7
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-10,NA,"1117",NA,"1077",1077,1077,0,40,"0",2022,11,10
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03,NA,"1034",NA,"844",844,844,0,190,"0",2023,3,3
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"34.7-40.1",NA,2017-02-13,NA,"1966","c","1798",1599,1599,0,168,"0",2017,2,13
"South Lake Mine",NA,NA,NA,NA,NA,NA,NA,NA,"0.8-3.8",NA,2024-02-28,NA,"1082","c","882",882,882,0,200,"0",2024,2,28
"Spider Cave","Dolomite","30",NA,NA,NA,"1",0,NA,NA,NA,2017-12-21,"Low","0",NA,"0",0,0,0,0,"0",2017,12,21
"Spider Cave",NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,2018-11-17,NA,"0",NA,"0",0,0,0,0,"0",2018,11,17
"Stair Cave","Limestone","4",NA,"4","12",NA,NA,NA,NA,NA,2010-05-16,"High","0","C","0",NA,NA,NA,0,"0",2010,5,16
"Sugarloaf Cave","Limestone","40",NA,"5.5","3.5",NA,NA,NA,NA,NA,2010-05-15,"Medium","0","C","0",NA,NA,NA,0,"0",2010,5,15
"Sunday Lake Mine, Shaft #6","Iron","?",NA,"0.5","4","?",0,NA,NA,NA,2005-02-28,"Low","0",NA,NA,NA,NA,NA,NA,NA,2005,2,28
"Taylor Adit","Iron","115","135","1.5","2","1",0,NA,"49",NA,2010-03-04,"Medium","250","C","250",29,21,8,0,"0",2010,3,4
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,"30.2","46.4","93.5",2012-03-05,"Medium","230","C","229",229,212,17,0,"1",2012,3,5
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,"~45","46","100",2013-03-29,NA,"201","c","200",187,158,19,0,"1",2013,3,29
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-28,NA,"285","c","285",285,201,84,0,"0",2014,11,28
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144","c","144",144,128,16,0,"0",NA,NA,NA
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-12,NA,"20",NA,"20",20,20,0,0,"0",2020,11,12
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-04,NA,"19",NA,"19",19,19,0,0,"0",2021,3,4
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-10,NA,"29",NA,"29",29,29,0,0,"0",2021,11,10
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-07,NA,"27",NA,"27",27,27,0,0,"0",2022,3,7
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-10,NA,"36",NA,"36",36,35,1,0,"0",2022,11,10
"Taylor Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,NA,"34",NA,"34",34,34,0,0,"0",2023,3,1
"Tilden Mine","Iron","?","NA","15","30","1",1,NA,NA,NA,2009-03-13,"Low","?",NA,NA,NA,NA,NA,NA,NA,2009,3,13
"Tippy Dam","Concrete","150","NA",NA,NA,"NA",NA,NA,"4.7 + .05 (SE) C","92 ± 3",2010-03-13,"Low","17550","C","17542",0,NA,NA,1,"7",2010,3,13
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-22,NA,"24360","c","24350",NA,NA,NA,0,"10",2012,2,22
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,"32-33",NA,2013-02-25,NA,"20116","C","20101",0,NA,NA,1,"14",2013,2,25
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-21,NA,"21381","c","21371",0,NA,NA,0,"10",2015,2,21
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,"40.1",NA,2017-02-28,NA,"27423","c","27415",0,NA,NA,0,"8",2017,2,28
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,"26","35",NA,2018-02-16,NA,"23531",NA,"23516",0,NA,NA,0,"15",2018,2,16
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-02-14,NA,"24133",NA,"24121",0,NA,NA,0,"12",2019,2,14
"Tippy Dam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26962",NA,NA,NA,NA,0,0,"7",NA,NA,NA
"Toltec Mine","Copper","63","0","12","8","1",1,NA,"43","93",1999-12-18,"Low","450","C","450",28,26,2,0,"0",1999,12,18
"Toltec Mine",NA,NA,NA,NA,NA,NA,NA,NA,"43.6","88",2010-03-02,NA,"836","C","836",0,NA,NA,0,"0",2010,3,2
"Toltec Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-02-20,NA,"79",NA,"79",NA,79,0,0,"0",2018,2,20
"Tracy MineService Tunnels","Concrete","925",NA,NA,NA,"2",0,"17","41","50",2011-02-28,"Low","17","C","2",2,0,2,15,"0",2011,2,28
"Trader's Mine","Iron","500","225","5","10","1",0,NA,NA,NA,1996-03-06,"Low","?",NA,NA,NA,NA,NA,NA,NA,1996,3,6
"Trader's Mine",NA,NA,NA,NA,NA,"1",0,"20","41.9-42.8",NA,2014-03-06,NA,"666","C","636",587,540,47,16,"14",2014,3,6
"Union Mine","Copper","0",NA,NA,NA,"0",0,NA,NA,NA,2015-07-23,NA,"0",NA,NA,NA,NA,NA,NA,NA,2015,7,23
"Unknown Keweenaw",NA,NA,NA,NA,NA,NA,NA,NA,"3.2-4.4",NA,2024-02-07,NA,"205","c","205",205,0,0,0,"0",2024,2,7
"Unknown working","Copper","12",NA,"15","15","0",1,NA,NA,NA,2005-03-02,"Low","0","C","0",0,NA,NA,0,"0",2005,3,2
"Vivian Adit","Iron","20","10","5","7","1",0,"20","30.2",NA,2014-02-21,"Low","5","c","0",NA,NA,NA,5,"0",2014,2,21
"Vivian Adit",NA,NA,NA,NA,NA,NA,NA,NA,"40.1","78",2018-12-14,NA,"1",NA,"0",NA,NA,NA,1,"0",2018,12,14
"Vulcan Adit","Iron","?",NA,NA,NA,"?",0,NA,NA,NA,2010-03-02,"low","?",NA,NA,NA,NA,NA,NA,NA,2010,3,2
"Wakefield Water Tunnel",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,2011-12-20,"Low","?",NA,NA,NA,NA,NA,NA,NA,2011,12,20
"Washburn Mine","Gold?","117","120","6","3","1",0,"31.5","43.7",NA,2006-11-03,"Medium","74","C","74",17,12,5,0,"0",2006,11,3
"Washburn Mine",NA,NA,NA,"6","4",NA,NA,"30","39.200000000000003","83",2011-12-20,NA,"35","C","35",27,14,13,0,"0",2011,12,20
"Washburn Mine",NA,NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,2018-03-10,NA,"25",NA,"25",25,25,0,0,"0",2018,3,10
"Washburn Mine",NA,NA,NA,NA,NA,NA,NA,"15","37.4","54.2",2019-12-19,NA,"21",NA,"21",21,21,0,0,"0",2019,12,19
"West Evergreen Adit","Copper","15","315","5","5","1",0,"35.6","39.200000000000003","82",2011-11-11,"High","0","C","0",0,NA,NA,0,"0",2011,11,11
"West Evergreen Bluff Mine","Copper",NA,"NA","2","2","4",1,"39.9","39.9-43","83-90",1998-12-14,"Low","4523","C","4519",25,24,1,2,"2",1998,12,14
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,NA,"42.4-44.0",NA,2005-11-05,"Low","6595","C","6585",0,NA,NA,10,NA,2005,11,5
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,"35.6","42.8-44.6","100",2011-11-11,NA,"5625","C","5619",0,NA,NA,3,"3",2011,11,11
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-27,NA,"3092","c","3092",0,NA,NA,0,"0",2015,11,27
"West Evergreen Bluff Mine",NA,NA,NA,NA,NA,NA,NA,"29","41.9-44.6","86.6-92.9",2018-11-16,NA,"788",NA,"788",NA,787,1,0,"0",2018,11,16
"West Vein Adit (Robin's Ore)","Copper","150","16","3","4","1",0,"20","39.200000000000003","92.4",2020-01-17,"Medium","185",NA,"185",162,162,0,0,"0",2020,1,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1-1.5",NA,2024-03-15,NA,"229","c","224",224,224,0,5,"0",2024,3,15
"White Pine Mine","Copper",">10,000","NA",NA,NA,"1",1,NA,"41.9-49.1","84-100",2011-04-02,"Low","2","C","2",1,1,NA,0,"0",2011,4,2
"White Pine Mine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-27,NA,"0","c","0",NA,NA,NA,0,"0",2015,2,27
"Windsor Shaft #3","Copper","696","180","7","7","4",1,"34.1","34-44","74-91",NA,"Low","2568","C","2450",25,25,0,118,"0",NA,NA,NA
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"23","31.1-42.8","77-84",2010-11-27,NA,"3418","C","3285",0,NA,NA,133,"0",2010,11,27
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"30.6","32-44.9","91-96",2013-01-04,NA,"2782","C","2646",0,NA,NA,136,"0",2013,1,4
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,NA,"35.6-?",NA,2014-12-18,NA,"2032","c","1884",119,110,9,148,"0",2014,12,18
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,NA,"38.3-43",NA,2015-11-25,NA,"3030","c","2892",611,591,20,138,"0",2015,11,25
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"40.5-41","40.1-44.6",NA,2016-11-18,NA,"3483","c","3046",308,305,3,129,"0",2016,11,18
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997",NA,NA,2017-11-18,NA,"1779","c","1638",NA,NA,NA,141,"0",2017,11,18
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,"39","36.3-?",NA,2019-11-16,NA,"1921",NA,"1746",92,92,0,175,"0",2019,11,16
"Windsor Shaft #3",NA,NA,NA,NA,NA,NA,NA,NA,"2.8-4.5",NA,2023-01-11,NA,"2321","c","1982",236,236,NA,339,NA,2023,1,11
"Young's Adit","Copper","500","180","6","3","1",NA,"ca. 50","≤44.5","89",2010-03-05,"Low","276","C","265",28,27,1,8,"3",2010,3,5
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,"32.9-?","91.7-100",2012-02-25,NA,"224","C","203",175,165,10,11,"10",2012,2,25
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-23,NA,"188","c","182",175,164,11,2,"4",2014,2,23
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-02-24,NA,"234","c","219",192,174,18,7,"8",2015,2,24
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,"33.8-42.8",NA,2016-02-22,NA,"219","c","205",203,201,2,10,"4",2016,2,22
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,"34","≤41",NA,2017-02-14,NA,"60","c","50",50,50,0,8,"2",2017,2,14
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-12-18,NA,"31",NA,"22",22,22,0,9,"0",2019,12,18
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-14,NA,"32",NA,"29",29,29,0,3,"0",2022,4,14
"Young's Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-15,NA,"29",NA,"29",29,29,0,0,"0",2023,4,15
